SEASONS,OVERALL,SEASON 7,SEASON 6,SEASON 5,SEASON 4,SEASON 3,SEASON 2,SEASON 1,Team-name
MATCHES PLAYED,123,16,23,22,14,16,16,16,u-mumba
WINS,76,8,15,10,7,13,14,9,u-mumba
DRAWS,7,1,2,0,1,0,0,3,u-mumba
LOSSES,40,7,6,12,6,3,2,4,u-mumba
FINISHING POSITION,0,5,2,4,4,1,1,2,u-mumba
TOTAL RAIDS,5187,646,978,963,594,685,697,624,u-mumba
SUCCESSFUL RAIDS,1753,208,372,322,188,206,187,270,u-mumba
UNSUCCESSFUL RAID,1121,148,196,219,131,139,154,134,u-mumba
EMPTY RAIDS,2313,290,410,422,275,340,356,220,u-mumba
SUCCESS RAID %,0.43,0.41,0.47,0.44,0.38,0.37,0.34,0.56,u-mumba
NO. OF SUPER RAIDS,62,7,15,10,4,7,7,12,u-mumba
RAID TOUCH POINTS,1726,213,372,298,164,211,206,262,u-mumba
RAID BONUS POINTS,482,53,87,121,63,42,31,85,u-mumba
TOTAL RAID POINTS,2208,266,459,419,227,253,237,347,u-mumba
TOTAL TACKLES,2826,334,558,539,293,329,364,409,u-mumba
SUCCESSFUL TACKLES,1193,145,274,176,110,163,180,145,u-mumba
UNSUCCESFUL TACKLES,1633,189,284,363,183,166,184,264,u-mumba
SUCCESSFUL TACKLE %,0.46,0.48,0.52,0.37,0.41,0.51,0.54,0.38,u-mumba
NO. OF SUPER TACKLES,102,16,15,26,11,6,16,12,u-mumba
ALL OUTS INFLICTED,167,22,41,21,15,27,20,21,u-mumba
TOTAL ALL OUT POINTS,334,44,82,42,30,54,40,42,u-mumba
TOTAL DEFENCE POINTS,1293,159,289,202,121,169,196,157,u-mumba
